Participants,TrailNum,result,time,
0,16,12,2.120171,
0,21,43,1.338239,
0,0,12,1.701355,
0,12,43,1.061836,
0,28,54,1.122033,
0,3,23,1.29731,
0,6,12,0.9586008,
0,9,54,1.101754,
0,5,54,1.998067,
0,19,23,1.200194,
0,18,65,1.021434,
0,15,75,1.162359,
0,2,14,1.19941,
0,27,75,1.540251,
0,20,76,1.318867,
0,11,25,1.422434,
0,8,75,1.441353,
0,17,74,1.04168,
0,13,25,0.9816374,
0,14,64,1.780606,
0,29,63,1.201819,
0,24,74,1.300369,
0,22,26,1.320635,
0,10,73,1.439138,
0,23,78,2.435929,
0,7,14,1.242136,
0,26,73,1.159347,
0,1,78,1.67916,
0,25,34,1.083121,
0,4,63,1.74287,
